Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","1N4148W","D_SOD-123",47.029472,-53.334325,155.000000,bottom
"D2","1N4148W","D_SOD-123",69.532050,-50.035225,155.000000,bottom
"D3","1N4148W","D_SOD-123",88.864988,-53.533437,155.000000,bottom
"D4","1N4148W","D_SOD-123",103.971745,-66.094718,155.000000,bottom
"D5","1N4148W","D_SOD-123",120.135046,-76.390236,155.000000,bottom
"D6","1N4148W","D_SOD-123",162.308812,-72.269709,205.000000,bottom
"D7","1N4148W","D_SOD-123",178.472110,-61.974190,205.000000,bottom
"D8","1N4148W","D_SOD-123",193.578867,-49.412906,205.000000,bottom
"D9","1N4148W","D_SOD-123",212.911804,-45.914695,205.000000,bottom
"D10","1N4148W","D_SOD-123",235.414378,-49.213799,205.000000,bottom
"D11","1N4148W","D_SOD-123",38.999728,-70.554174,155.000000,bottom
"D12","1N4148W","D_SOD-123",61.502302,-67.255074,155.000000,bottom
"D13","1N4148W","D_SOD-123",80.835239,-70.753282,155.000000,bottom
"D14","1N4148W","D_SOD-123",95.941997,-83.314565,155.000000,bottom
"D15","1N4148W","D_SOD-123",112.105299,-93.610082,155.000000,bottom
"D16","1N4148W","D_SOD-123",170.338558,-89.489556,205.000000,bottom
"D17","1N4148W","D_SOD-123",186.501858,-79.194039,205.000000,bottom
"D18","1N4148W","D_SOD-123",201.608613,-66.632752,205.000000,bottom
"D19","1N4148W","D_SOD-123",220.941551,-63.134544,205.000000,bottom
"D20","1N4148W","D_SOD-123",243.444127,-66.433645,205.000000,bottom
"D21","1N4148W","D_SOD-123",30.969982,-87.774021,155.000000,bottom
"D22","1N4148W","D_SOD-123",53.472558,-84.474921,155.000000,bottom
"D23","1N4148W","D_SOD-123",72.805495,-87.973127,155.000000,bottom
"D24","1N4148W","D_SOD-123",87.912251,-100.534416,155.000000,bottom
"D25","1N4148W","D_SOD-123",104.075551,-110.829929,155.000000,bottom
"D26","1N4148W","D_SOD-123",178.368301,-106.709403,205.000000,bottom
"D27","1N4148W","D_SOD-123",194.531604,-96.413887,205.000000,bottom
"D28","1N4148W","D_SOD-123",209.638360,-83.852600,205.000000,bottom
"D29","1N4148W","D_SOD-123",228.971298,-80.354393,205.000000,bottom
"D30","1N4148W","D_SOD-123",251.473873,-83.653494,205.000000,bottom
"D31","1N4148W","D_SOD-123",45.442811,-101.694769,155.000000,bottom
"D32","1N4148W","D_SOD-123",64.775747,-105.192975,155.000000,bottom
"D33","1N4148W","D_SOD-123",73.543231,-131.348876,155.000000,bottom
"D34","1N4148W","D_SOD-123",90.030227,-141.848877,145.000000,bottom
"D35","1N4148W","D_SOD-123",104.443442,-155.052297,135.000000,bottom
"D36","1N4148W","D_SOD-123",176.058205,-148.158004,225.000000,bottom
"D37","1N4148W","D_SOD-123",191.563860,-136.256510,215.000000,bottom
"D38","1N4148W","D_SOD-123",208.900625,-127.228351,205.000000,bottom
"D39","1N4148W","D_SOD-123",217.668108,-101.072446,205.000000,bottom
"D40","1N4148W","D_SOD-123",237.001043,-97.574239,205.000000,bottom
"D81","1N4148W","D_SOD-123",114.406272,-129.234121,90.000000,bottom
"D82","1N4148W","D_SOD-123",158.606269,-129.234124,90.000000,bottom
"R4","10k","R_0805_2012Metric",153.010428,-152.034519,270.000000,bottom
"SW41","SW_Push","SKQG-1155865",149.810427,-157.834520,0.000000,bottom
