Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"SW1","SW_Push","Kailh_socket_PG1350",46.179707,-43.621429,335.000000,top
"SW2","SW_Push","Kailh_socket_PG1350",68.682282,-40.322330,335.000000,top
"SW3","SW_Push","Kailh_socket_PG1350",88.015220,-43.820537,335.000000,top
"SW4","SW_Push","Kailh_socket_PG1350",103.121976,-56.381820,335.000000,top
"SW5","SW_Push","Kailh_socket_PG1350",119.285277,-66.677339,335.000000,top
"SW6","SW_Push","Kailh_socket_PG1350",154.322076,-66.677335,25.000000,top
"SW7","SW_Push","Kailh_socket_PG1350",170.485380,-56.381821,25.000000,top
"SW8","SW_Push","Kailh_socket_PG1350",185.592135,-43.820538,25.000000,top
"SW9","SW_Push","Kailh_socket_PG1350",204.925073,-40.322329,25.000000,top
"SW10","SW_Push","Kailh_socket_PG1350",227.427648,-43.621428,25.000000,top
"SW11","SW_Push","Kailh_socket_PG1350",38.149961,-60.841276,335.000000,top
"SW12","SW_Push","Kailh_socket_PG1350",60.652536,-57.542176,335.000000,top
"SW13","SW_Push","Kailh_socket_PG1350",79.985474,-61.040384,335.000000,top
"SW14","SW_Push","Kailh_socket_PG1350",95.092229,-73.601669,335.000000,top
"SW15","SW_Push","Kailh_socket_PG1350",111.255533,-83.897189,335.000000,top
"SW16","SW_Push","Kailh_socket_PG1350",162.351822,-83.897186,25.000000,top
"SW17","SW_Push","Kailh_socket_PG1350",178.515127,-73.601671,25.000000,top
"SW18","SW_Push","Kailh_socket_PG1350",193.621881,-61.040384,25.000000,top
"SW19","SW_Push","Kailh_socket_PG1350",212.954822,-57.542174,25.000000,top
"SW20","SW_Push","Kailh_socket_PG1350",235.457394,-60.841275,25.000000,top
"SW21","SW_Push","Kailh_socket_PG1350",30.120211,-78.061123,335.000000,top
"SW22","SW_Push","Kailh_socket_PG1350",52.622789,-74.762024,335.000000,top
"SW23","SW_Push","Kailh_socket_PG1350",71.955726,-78.260230,335.000000,top
"SW24","SW_Push","Kailh_socket_PG1350",87.062482,-90.821516,335.000000,top
"SW25","SW_Push","Kailh_socket_PG1350",103.225786,-101.117032,335.000000,top
"SW26","SW_Push","Kailh_socket_PG1350",170.381570,-101.117033,25.000000,top
"SW27","SW_Push","Kailh_socket_PG1350",186.544872,-90.821515,25.000000,top
"SW28","SW_Push","Kailh_socket_PG1350",201.651630,-78.260233,25.000000,top
"SW29","SW_Push","Kailh_socket_PG1350",220.984568,-74.762023,25.000000,top
"SW30","SW_Push","Kailh_socket_PG1350",243.487141,-78.061122,25.000000,top
"SW31","SW_Push","Kailh_socket_PG1350",44.593042,-91.981870,335.000000,top
"SW32","SW_Push","Kailh_socket_PG1350",63.925979,-95.480078,335.000000,top
"SW33","SW_Push","Kailh_socket_PG1350",72.693460,-121.635980,335.000000,top
"SW34","SW_Push","Kailh_socket_PG1350",90.879994,-132.135979,325.000000,top
"SW35","SW_Push","Kailh_socket_PG1350",106.966929,-145.634519,315.000000,top
"SW36","SW_Push","Kailh_socket_PG1350",166.640430,-145.634520,45.000000,top
"SW37","SW_Push","Kailh_socket_PG1350",182.727359,-132.135979,35.000000,top
"SW38","SW_Push","Kailh_socket_PG1350",200.913891,-121.635978,25.000000,top
"SW39","SW_Push","Kailh_socket_PG1350",209.681378,-95.480075,25.000000,top
"SW40","SW_Push","Kailh_socket_PG1350",229.014315,-91.981870,25.000000,top
