Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","1N4148W","D_SOD-123",47.748992,-33.759108,245.000000,bottom
"D2","1N4148W","D_SOD-123",70.251567,-30.460008,245.000000,bottom
"D3","1N4148W","D_SOD-123",89.584504,-33.958216,245.000000,bottom
"D4","1N4148W","D_SOD-123",104.691260,-46.519500,245.000000,bottom
"D5","1N4148W","D_SOD-123",120.854561,-56.815018,245.000000,bottom
"D6","1N4148W","D_SOD-123",157.028593,-59.108404,295.000000,bottom
"D7","1N4148W","D_SOD-123",172.054662,-53.492701,295.000000,bottom
"D8","1N4148W","D_SOD-123",187.161418,-40.931416,295.000000,bottom
"D9","1N4148W","D_SOD-123",206.494356,-37.433208,295.000000,bottom
"D10","1N4148W","D_SOD-123",228.996931,-40.732309,295.000000,bottom
"D11","1N4148W","D_SOD-123",39.719244,-50.978955,245.000000,bottom
"D12","1N4148W","D_SOD-123",62.221819,-47.679855,245.000000,bottom
"D13","1N4148W","D_SOD-123",81.554757,-51.178063,245.000000,bottom
"D14","1N4148W","D_SOD-123",96.661513,-63.739347,245.000000,bottom
"D15","1N4148W","D_SOD-123",112.824814,-74.034865,245.000000,bottom
"D16","1N4148W","D_SOD-123",163.921109,-81.008065,295.000000,bottom
"D17","1N4148W","D_SOD-123",177.399393,-65.280604,295.000000,bottom
"D18","1N4148W","D_SOD-123",194.852593,-58.058404,295.000000,bottom
"D19","1N4148W","D_SOD-123",214.524103,-54.653055,295.000000,bottom
"D20","1N4148W","D_SOD-123",237.026678,-57.952155,295.000000,bottom
"D21","1N4148W","D_SOD-123",31.689497,-68.198802,245.000000,bottom
"D22","1N4148W","D_SOD-123",54.192072,-64.899702,245.000000,bottom
"D23","1N4148W","D_SOD-123",73.525010,-68.397910,245.000000,bottom
"D24","1N4148W","D_SOD-123",88.631766,-80.959196,245.000000,bottom
"D25","1N4148W","D_SOD-123",104.795069,-91.254712,245.000000,bottom
"D26","1N4148W","D_SOD-123",171.950854,-98.227912,295.000000,bottom
"D27","1N4148W","D_SOD-123",188.114156,-87.932397,295.000000,bottom
"D28","1N4148W","D_SOD-123",203.220912,-75.371110,295.000000,bottom
"D29","1N4148W","D_SOD-123",222.553850,-71.872902,295.000000,bottom
"D30","1N4148W","D_SOD-123",245.056425,-75.172002,295.000000,bottom
"D31","1N4148W","D_SOD-123",46.162325,-82.119549,245.000000,bottom
"D32","1N4148W","D_SOD-123",65.495263,-85.617757,245.000000,bottom
"D33","1N4148W","D_SOD-123",74.262746,-111.773660,245.000000,bottom
"D34","1N4148W","D_SOD-123",93.168315,-121.028254,235.000000,bottom
"D35","1N4148W","D_SOD-123",110.179619,-133.425169,225.000000,bottom
"D36","1N4148W","D_SOD-123",169.853120,-145.092430,315.000000,bottom
"D37","1N4148W","D_SOD-123",185.015679,-130.492264,305.000000,bottom
"D38","1N4148W","D_SOD-123",202.646993,-119.382604,295.000000,bottom
"D39","1N4148W","D_SOD-123",211.250660,-92.590957,295.000000,bottom
"D40","1N4148W","D_SOD-123",230.583597,-89.092749,295.000000,bottom
"D81","1N4148W","D_SOD-123",123.452593,-122.858404,90.000000,bottom
"D82","1N4148W","D_SOD-123",167.652593,-122.858404,90.000000,bottom
"R4","10k","R_0805_2012Metric",162.056750,-145.658799,270.000000,bottom
"SW41","SW_Push","SKQG-1155865",158.856750,-151.458799,0.000000,bottom
