Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","1N4148W","D_SOD-123",41.690256,-34.509881,245.000000,bottom
"D2","1N4148W","D_SOD-123",64.192831,-31.210781,245.000000,bottom
"D3","1N4148W","D_SOD-123",83.525768,-34.708989,245.000000,bottom
"D4","1N4148W","D_SOD-123",98.632524,-47.270272,245.000000,bottom
"D5","1N4148W","D_SOD-123",114.795825,-57.565790,245.000000,bottom
"D6","1N4148W","D_SOD-123",150.969857,-59.859176,295.000000,bottom
"D7","1N4148W","D_SOD-123",165.995926,-54.243474,295.000000,bottom
"D8","1N4148W","D_SOD-123",181.102682,-41.682188,295.000000,bottom
"D9","1N4148W","D_SOD-123",200.435620,-38.183981,295.000000,bottom
"D10","1N4148W","D_SOD-123",222.938195,-41.483081,295.000000,bottom
"D11","1N4148W","D_SOD-123",33.660508,-51.729727,245.000000,bottom
"D12","1N4148W","D_SOD-123",56.163083,-48.430627,245.000000,bottom
"D13","1N4148W","D_SOD-123",75.496021,-51.928836,245.000000,bottom
"D14","1N4148W","D_SOD-123",90.602778,-64.490119,245.000000,bottom
"D15","1N4148W","D_SOD-123",106.766078,-74.785637,245.000000,bottom
"D16","1N4148W","D_SOD-123",157.862374,-81.758837,295.000000,bottom
"D17","1N4148W","D_SOD-123",171.340657,-66.031376,295.000000,bottom
"D18","1N4148W","D_SOD-123",188.793858,-58.809177,295.000000,bottom
"D19","1N4148W","D_SOD-123",208.465368,-55.403827,295.000000,bottom
"D20","1N4148W","D_SOD-123",230.967943,-58.702928,295.000000,bottom
"D21","1N4148W","D_SOD-123",25.630761,-68.949575,245.000000,bottom
"D22","1N4148W","D_SOD-123",48.133337,-65.650474,245.000000,bottom
"D23","1N4148W","D_SOD-123",67.466275,-69.148683,245.000000,bottom
"D24","1N4148W","D_SOD-123",82.573030,-81.709968,245.000000,bottom
"D25","1N4148W","D_SOD-123",98.736333,-92.005485,245.000000,bottom
"D26","1N4148W","D_SOD-123",165.892118,-98.978685,295.000000,bottom
"D27","1N4148W","D_SOD-123",182.055420,-88.683170,295.000000,bottom
"D28","1N4148W","D_SOD-123",197.162176,-76.121883,295.000000,bottom
"D29","1N4148W","D_SOD-123",216.495114,-72.623675,295.000000,bottom
"D30","1N4148W","D_SOD-123",238.997690,-75.922775,295.000000,bottom
"D31","1N4148W","D_SOD-123",40.103589,-82.870322,245.000000,bottom
"D32","1N4148W","D_SOD-123",59.436527,-86.368529,245.000000,bottom
"D33","1N4148W","D_SOD-123",68.204010,-112.524432,245.000000,bottom
"D34","1N4148W","D_SOD-123",87.109579,-121.779026,235.000000,bottom
"D35","1N4148W","D_SOD-123",104.120883,-134.175941,225.000000,bottom
"D36","1N4148W","D_SOD-123",163.794384,-145.843202,315.000000,bottom
"D37","1N4148W","D_SOD-123",178.956943,-131.243037,305.000000,bottom
"D38","1N4148W","D_SOD-123",196.588257,-120.133376,295.000000,bottom
"D39","1N4148W","D_SOD-123",205.191924,-93.341730,295.000000,bottom
"D40","1N4148W","D_SOD-123",224.524861,-89.843522,295.000000,bottom
"D81","1N4148W","D_SOD-123",117.393857,-123.609176,90.000000,bottom
"D82","1N4148W","D_SOD-123",161.593857,-123.609176,90.000000,bottom
"R4","10k","R_0805_2012Metric",155.998015,-146.409572,270.000000,bottom
"SW41","SW_Push","SKQG-1155865",152.798015,-152.209572,0.000000,bottom
