Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","1u","C_0805_2012Metric",144.452593,-77.858404,180.000000,bottom
"C2","22p","C_0805_2012Metric",159.652593,-88.258404,0.000000,bottom
"C3","22p","C_0805_2012Metric",159.652593,-85.658404,0.000000,bottom
"C4","0.1u","C_0805_2012Metric",155.452593,-82.858404,0.000000,bottom
"C6","0.1u","C_0805_2012Metric",135.252593,-91.058404,90.000000,bottom
"C7","0.1u","C_0805_2012Metric",149.452593,-94.858404,0.000000,bottom
"C8","10u","C_0805_2012Metric",135.652593,-79.058404,180.000000,bottom
"D1","1N4148W","D_SOD-123",56.052593,-47.058404,155.000000,bottom
"D2","1N4148W","D_SOD-123",78.652593,-43.858404,155.000000,bottom
"D3","1N4148W","D_SOD-123",97.852593,-47.258404,155.000000,bottom
"D4","1N4148W","D_SOD-123",113.052593,-59.858404,155.000000,bottom
"D5","1N4148W","D_SOD-123",129.052593,-70.058404,155.000000,bottom
"D6","1N4148W","D_SOD-123",171.452593,-65.858404,205.000000,bottom
"D7","1N4148W","D_SOD-123",187.452593,-55.658404,205.000000,bottom
"D8","1N4148W","D_SOD-123",202.652593,-43.058404,205.000000,bottom
"D9","1N4148W","D_SOD-123",221.852593,-39.458404,205.000000,bottom
"D10","1N4148W","D_SOD-123",244.652593,-42.858404,205.000000,bottom
"D11","1N4148W","D_SOD-123",48.052593,-64.258404,155.000000,bottom
"D12","1N4148W","D_SOD-123",70.652593,-61.058404,155.000000,bottom
"D13","1N4148W","D_SOD-123",89.852593,-64.458404,155.000000,bottom
"D14","1N4148W","D_SOD-123",105.052593,-77.058404,155.000000,bottom
"D15","1N4148W","D_SOD-123",121.052593,-87.458404,155.000000,bottom
"D16","1N4148W","D_SOD-123",179.452593,-83.258404,205.000000,bottom
"D17","1N4148W","D_SOD-123",195.452593,-72.858404,205.000000,bottom
"D18","1N4148W","D_SOD-123",210.652593,-60.258404,205.000000,bottom
"D19","1N4148W","D_SOD-123",230.052593,-56.658404,205.000000,bottom
"D20","1N4148W","D_SOD-123",252.452593,-60.058404,205.000000,bottom
"D21","1N4148W","D_SOD-123",40.052593,-81.658404,155.000000,bottom
"D22","1N4148W","D_SOD-123",62.452593,-78.258404,155.000000,bottom
"D23","1N4148W","D_SOD-123",81.852593,-81.658404,155.000000,bottom
"D24","1N4148W","D_SOD-123",96.852593,-94.258404,155.000000,bottom
"D25","1N4148W","D_SOD-123",113.052593,-104.658404,155.000000,bottom
"D26","1N4148W","D_SOD-123",187.452593,-100.458404,205.000000,bottom
"D27","1N4148W","D_SOD-123",203.652593,-90.258404,205.000000,bottom
"D28","1N4148W","D_SOD-123",218.652593,-77.658404,205.000000,bottom
"D29","1N4148W","D_SOD-123",238.052593,-74.058404,205.000000,bottom
"D30","1N4148W","D_SOD-123",260.452593,-77.258404,205.000000,bottom
"D31","1N4148W","D_SOD-123",54.452593,-95.458404,155.000000,bottom
"D32","1N4148W","D_SOD-123",73.852593,-99.058404,155.000000,bottom
"D33","1N4148W","D_SOD-123",82.452593,-125.058404,155.000000,bottom
"D34","1N4148W","D_SOD-123",99.052593,-135.658404,145.000000,bottom
"D35","1N4148W","D_SOD-123",113.452593,-148.858404,135.000000,bottom
"D36","1N4148W","D_SOD-123",185.252593,-142.058404,225.000000,bottom
"D37","1N4148W","D_SOD-123",200.852593,-130.058404,215.000000,bottom
"D38","1N4148W","D_SOD-123",218.052593,-121.058404,205.000000,bottom
"D39","1N4148W","D_SOD-123",226.852593,-94.858404,205.000000,bottom
"D40","1N4148W","D_SOD-123",246.052593,-91.258404,205.000000,bottom
"D81","1N4148W","D_SOD-123",123.452593,-122.858404,90.000000,bottom
"D82","1N4148W","D_SOD-123",167.652593,-122.858404,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",141.452593,-70.658404,90.000000,bottom
"R1","10k","R_0805_2012Metric",138.252593,-94.858404,0.000000,bottom
"R2","22","R_0805_2012Metric",144.452593,-73.458404,90.000000,bottom
"R3","22","R_0805_2012Metric",147.252593,-73.458404,270.000000,bottom
"R4","10k","R_0805_2012Metric",162.052593,-145.658404,270.000000,bottom
"R5","5.1k","R_0805_2012Metric",150.052593,-64.858404,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",141.652593,-64.858404,180.000000,bottom
"SW41","SW_Push","SKQG-1155865",158.852593,-151.458404,0.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",143.852593,-86.858404,270.000000,bottom
"U2","PRTR5V0U2X","SOT143B",145.852593,-67.858404,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",145.852593,-51.908404,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",155.902593,-87.008404,90.000000,bottom
