Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","1u","C_0805_2012Metric",148.452593,-77.858404,180.000000,bottom
"C2","22p","C_0805_2012Metric",163.652593,-88.258404,0.000000,bottom
"C3","22p","C_0805_2012Metric",163.652593,-85.658404,0.000000,bottom
"C4","0.1u","C_0805_2012Metric",159.452593,-82.858404,0.000000,bottom
"C6","0.1u","C_0805_2012Metric",139.252593,-91.058404,90.000000,bottom
"C7","0.1u","C_0805_2012Metric",153.452593,-94.858404,0.000000,bottom
"C8","10u","C_0805_2012Metric",139.652593,-79.058404,180.000000,bottom
"D1","1N4148W","D_SOD-123",62.703068,-40.732308,65.000000,bottom
"D2","1N4148W","D_SOD-123",85.205643,-37.433208,65.000000,bottom
"D3","1N4148W","D_SOD-123",104.538582,-40.931416,65.000000,bottom
"D4","1N4148W","D_SOD-123",119.645338,-53.492702,65.000000,bottom
"D5","1N4148W","D_SOD-123",135.808639,-63.788218,65.000000,bottom
"D6","1N4148W","D_SOD-123",170.845438,-56.815017,115.000000,bottom
"D7","1N4148W","D_SOD-123",187.008740,-46.519501,115.000000,bottom
"D8","1N4148W","D_SOD-123",202.115496,-33.958216,115.000000,bottom
"D9","1N4148W","D_SOD-123",221.448434,-30.460008,115.000000,bottom
"D10","1N4148W","D_SOD-123",243.951009,-33.759107,115.000000,bottom
"D11","1N4148W","D_SOD-123",54.673322,-57.952155,65.000000,bottom
"D12","1N4148W","D_SOD-123",77.175897,-54.653055,65.000000,bottom
"D13","1N4148W","D_SOD-123",96.508835,-58.151263,65.000000,bottom
"D14","1N4148W","D_SOD-123",111.615591,-70.712549,65.000000,bottom
"D15","1N4148W","D_SOD-123",127.778892,-81.008065,65.000000,bottom
"D16","1N4148W","D_SOD-123",178.875185,-74.034865,115.000000,bottom
"D17","1N4148W","D_SOD-123",195.038487,-63.739348,115.000000,bottom
"D18","1N4148W","D_SOD-123",210.145243,-51.178063,115.000000,bottom
"D19","1N4148W","D_SOD-123",229.478181,-47.679855,115.000000,bottom
"D20","1N4148W","D_SOD-123",251.980756,-50.978955,115.000000,bottom
"D21","1N4148W","D_SOD-123",46.643575,-75.172002,65.000000,bottom
"D22","1N4148W","D_SOD-123",69.146150,-71.872902,65.000000,bottom
"D23","1N4148W","D_SOD-123",88.479088,-75.371110,65.000000,bottom
"D24","1N4148W","D_SOD-123",103.585844,-87.932396,65.000000,bottom
"D25","1N4148W","D_SOD-123",119.749145,-98.227912,65.000000,bottom
"D26","1N4148W","D_SOD-123",186.904932,-91.254712,115.000000,bottom
"D27","1N4148W","D_SOD-123",203.068234,-80.959195,115.000000,bottom
"D28","1N4148W","D_SOD-123",218.174990,-68.397910,115.000000,bottom
"D29","1N4148W","D_SOD-123",237.507928,-64.899702,115.000000,bottom
"D30","1N4148W","D_SOD-123",260.010503,-68.198802,115.000000,bottom
"D31","1N4148W","D_SOD-123",61.116403,-89.092749,65.000000,bottom
"D32","1N4148W","D_SOD-123",80.449341,-92.590957,65.000000,bottom
"D33","1N4148W","D_SOD-123",89.216824,-118.746860,65.000000,bottom
"D34","1N4148W","D_SOD-123",106.684321,-130.492264,55.000000,bottom
"D35","1N4148W","D_SOD-123",121.846881,-145.092429,45.000000,bottom
"D36","1N4148W","D_SOD-123",181.520380,-133.425168,135.000000,bottom
"D37","1N4148W","D_SOD-123",198.531685,-121.028254,125.000000,bottom
"D38","1N4148W","D_SOD-123",217.437254,-111.773660,115.000000,bottom
"D39","1N4148W","D_SOD-123",226.204736,-85.617757,115.000000,bottom
"D40","1N4148W","D_SOD-123",245.537675,-82.119549,115.000000,bottom
"D81","1N4148W","D_SOD-123",123.452593,-122.858404,90.000000,bottom
"D82","1N4148W","D_SOD-123",167.652593,-122.858404,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",141.452593,-70.658404,90.000000,bottom
"R1","10k","R_0805_2012Metric",142.252593,-94.858404,0.000000,bottom
"R2","22","R_0805_2012Metric",144.452593,-73.458404,90.000000,bottom
"R3","22","R_0805_2012Metric",147.252593,-73.458404,270.000000,bottom
"R4","10k","R_0805_2012Metric",160.652593,-150.458404,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",150.052593,-64.858404,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",141.652593,-64.858404,180.000000,bottom
"SW41","SW_Push","SKQG-1155865",166.852593,-148.658404,0.000000,bottom
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",147.852593,-86.858404,270.000000,bottom
"U2","PRTR5V0U2X","SOT143B",145.852593,-67.858404,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",145.852593,-51.908404,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",159.902593,-87.008404,90.000000,bottom
